name;turning-left-and-right;tunnel;zig-zag;triple-slalom;diamonds-with-signals;wormhole-cloud;two-color-tracks;shooting;diamond-lines;n;beware-of-asteroid;shot;ladder;wormhole-demo;yellow-is-not-red;2diamonds-2meteorids;five-diamonds;steal-the-nose;dont-forget-shot;three-steps-forward;turning-right-and-left;on-yellow-to-left;slalom-position-testing;edge-wormholes;diamond-on-right;diamonds-in-meteoroid-cloud;six-diamonds;cross-2;big-slalom;direction-change;bouncing-from-edge;plan-your-shooting;yellow-hint;diamond-path;colorful-flowers;turning-left;chessboard;find-the-path;arrow;turning-right;double-bend;edge-to-edge;one-step-forward;diamond-cross;stairs;direct-flight-ahead;diagonal-diamonds;color-slalom;two-bit-instructions;two-diamonds;red-shooting;diamonds-on-yellow;diagonal-lines;clean-your-path;triple-steps;color-navigation;follow-colors;meteoroids-on-left;collect-diamonds;diamond-ring;maneuvers-on-left;zig-zag-plus;triangle;rectangle;wave;surrounded-diamond;plus;meteoroids-and-wormholes;letter-h;stripes;narrow-passage;big-right-turn;big-left-turn;four-vs;stop-on-red;turning-in-square;double-track;blocked-wormhole;letter-d;yellow-squares;free-column;last-shot;letter-e;belgian-flag;mirror;diamond-in-house
big-right-turn;9;10;8;9;9;7;16;9;11;8;9;10;7;9;9;11;8;7;9;10;9;8;10;15;9;7;11;33;6;7;12;8;6;10;16;10;10;7;14;9;8;13;10;5;6;9;19;10;26;8;12;11;19;4;15;17;15;15;10;10;13;11;7;7;12;9;9;12;12;5;13;0;7;6;9;23;13;4;16;9;11;10;11;17;33;11
big-left-turn;13;13;13;11;12;10;15;14;9;5;13;14;11;14;11;12;10;11;14;14;13;12;11;15;14;12;11;32;6;11;10;7;11;13;17;13;11;9;11;14;7;14;14;8;9;12;19;12;25;12;13;11;19;8;11;16;14;12;6;8;14;8;6;7;14;13;14;12;13;7;12;7;0;6;12;20;10;7;16;12;13;13;11;15;33;9
four-vs;13;13;10;10;10;10;13;13;10;6;12;14;10;13;12;14;9;10;12;14;12;9;11;12;13;9;8;30;1;10;10;7;10;12;14;13;11;10;14;13;5;11;14;7;7;12;17;8;24;9;9;9;17;8;11;15;12;11;8;6;13;9;7;8;11;12;12;12;12;6;10;6;6;0;12;20;9;7;13;10;12;12;10;14;31;12
stop-on-red;12;11;9;11;8;10;18;10;9;10;12;10;9;11;7;11;10;10;11;11;12;8;10;19;11;10;11;33;12;3;14;10;4;12;14;11;8;10;18;11;12;13;12;10;8;7;17;10;23;8;10;9;18;10;17;15;13;16;11;13;9;16;11;9;13;12;13;9;9;10;10;9;12;12;0;22;15;8;15;8;9;11;11;15;32;8
turning-in-square;27;27;23;24;18;26;19;28;17;20;27;28;26;28;22;25;23;24;27;28;27;18;18;18;28;26;17;28;20;22;18;23;23;25;17;28;18;24;23;28;20;18;28;22;23;23;15;22;18;18;17;16;14;23;14;16;17;21;22;20;17;20;22;23;21;27;27;20;19;23;18;23;20;20;22;0;20;23;15;19;18;27;17;15;21;23
double-track;18;17;17;12;15;14;11;18;15;10;18;18;16;18;15;17;11;15;18;17;18;14;15;13;18;16;13;30;8;15;13;12;16;18;16;17;16;15;13;18;10;16;19;13;12;17;15;11;23;14;13;14;18;13;12;16;15;6;12;8;15;11;11;12;12;18;19;15;15;13;15;13;10;9;15;20;0;12;15;15;14;18;13;16;30;14
blocked-wormhole;9;8;9;8;10;6;17;8;9;7;10;8;7;9;9;9;7;7;8;9;10;9;11;17;9;6;12;34;7;8;12;6;6;10;17;9;9;6;16;9;8;15;9;5;5;7;19;12;26;9;11;11;21;5;15;18;16;14;9;9;12;13;8;6;14;9;10;10;10;4;12;4;7;7;8;23;12;0;17;9;10;8;12;18;35;12
letter-d;20;20;14;16;9;18;11;20;11;15;18;20;18;20;15;19;16;17;19;20;18;10;10;12;20;18;6;28;13;14;12;16;15;18;9;20;12;17;17;20;16;11;20;17;16;15;11;14;16;10;10;9;13;17;15;8;8;15;16;16;11;15;17;16;15;19;19;12;12;15;8;16;16;13;15;15;15;17;0;11;12;19;8;9;23;15
yellow-squares;10;10;6;10;2;9;15;9;6;11;10;9;7;10;9;9;8;8;11;10;10;1;6;19;10;9;9;34;10;7;12;8;9;10;14;10;5;8;19;10;10;12;10;9;9;5;16;11;20;1;7;6;16;10;17;12;10;18;12;11;6;16;12;9;14;11;11;7;6;7;9;9;12;10;8;19;15;9;11;0;6;11;8;12;32;12
free-column;13;12;9;10;8;10;17;12;4;12;14;12;11;13;9;12;9;11;13;13;14;7;6;18;13;11;8;31;12;9;11;10;9;14;13;13;5;11;19;13;12;12;13;10;9;8;14;12;21;7;6;7;17;12;17;14;12;16;13;12;5;17;12;10;13;13;14;6;3;10;7;11;13;12;9;18;14;10;12;6;0;13;7;14;30;13
last-shot;3;4;6;11;11;5;19;3;12;13;4;4;6;3;10;6;10;5;4;5;4;10;12;21;3;5;14;38;12;12;14;9;9;3;19;4;11;5;20;4;12;17;5;8;10;6;21;14;28;10;14;12;22;9;20;20;18;19;15;12;15;17;12;10;17;3;3;12;12;8;14;10;13;12;11;27;18;8;19;11;13;0;15;19;36;15
letter-e;15;15;10;13;8;13;15;15;5;12;14;15;13;15;13;15;12;13;15;15;14;7;7;12;15;14;3;29;10;10;7;11;12;14;11;15;5;14;17;15;11;8;15;13;13;10;11;12;20;7;8;5;14;11;15;11;9;15;13;12;7;15;12;11;13;14;15;8;6;11;4;11;11;10;11;17;13;12;8;8;7;15;0;11;27;11
belgian-flag;20;19;15;16;10;19;14;21;13;14;19;21;19;20;16;19;16;18;19;21;19;11;13;15;20;19;10;29;14;14;14;17;16;17;10;21;14;18;16;21;14;13;21;16;16;16;12;14;15;11;9;9;10;17;16;7;2;15;14;15;14;15;15;17;18;19;19;14;14;17;11;17;15;14;15;15;16;18;9;12;14;19;11;0;25;15
mirror;37;37;33;32;30;36;28;38;30;31;38;39;36;37;32;37;34;35;35;39;38;31;29;26;37;35;25;29;32;32;28;36;32;37;23;38;29;36;29;38;30;26;39;31;33;34;17;30;16;31;25;26;23;34;27;23;25;29;30;31;29;30;29;35;27;36;37;29;30;34;25;33;33;31;32;21;30;35;23;32;30;36;27;25;0;32
diamond-in-house;15;15;12;13;12;13;17;16;12;11;15;16;14;16;8;15;11;15;15;16;15;11;12;17;16;15;12;31;12;5;14;12;8;16;16;15;11;14;15;16;13;12;16;12;13;12;18;8;24;11;13;12;18;11;17;15;13;15;13;14;14;14;11;12;14;14;15;13;14;12;13;11;9;12;8;23;14;12;15;12;13;15;11;15;32;0
